,City,NickName,Province,Sex,Signature
0,津南,Duke Guo,天津,1,感谢你来看我
1,南京,丫丫丫,江苏,2,
2,海淀,郑宇风,北京,1,成
3,,Heshigui,山东,2,一生温暖纯良，不舍爱与自由
4,滨海新区,欣纾👒,天津,2,"生活本身就是闪电<span class=""emoji emoji26a1""></span>️"
5,海淀,肖亨嘉,北京,1,吃冰棍拉冰棍。。没话（化）
6,长沙,张zheng,湖南,1,
7,,壬克氏介,天津,1,(ง •̀_•́)ง
8,,园艺师,,0,
9,,无机盐,,0,
10,海淀,方梓行,北京,1,可以没有一样的梦想充实，但是要对梦想有一样的坚持
11,,静熙,山西,2,
12,大同,风春,山西,1,郭风春
13,大同,aunt,山西,1,
14,石家庄,此心安处,河北,1,
15,大同,小女人,山西,2,
16,郑州,啵咔,河南,2,乐道
17,海淀,Dream,北京,2,梦里有你～～～
18,大同,西边小羊的东边木马HLJ,山西,1,四世同堂的big family希望新年里每一位成员都健健康康，顺顺利利
19,,水晶梦馨,北京,2,
20,海淀,常晨,北京,1,
21,海淀,＿＿＿＿Michaelia,北京,2,不走彎路便是捷徑
22,海淀,姚先智智智。,北京,1,从来都不会想起，永远也不会忘记。
23,,糖糖,天津,1,愿得一心人，白首不相离。
24,大同,邬子虚,山西,1,该奋斗的年龄不应该选择安逸
25,海淀,起个什么名字好呢,北京,2,砰砰砰呛
26,海淀,The one,北京,1,谁可以看                                                共享
27,,嵩林大王,北京,1,勤劳勤俭勤奋勤恳
28,海淀,酒酿圆子,北京,2,
29,临沂,久远以前,山东,1,
30,,小邢同学 👌,,2,
31,海淀,BARRY,北京,1,水的家在天上，在地下，在你我的身体里。
32,邯郸,航,河北,1,我的世界    我做主
33,海淀,大西瓜,北京,2,人生没有白走的路，每一步都算数
34,,闲云野鹤,,1,
35,巴彦淖尔,Habour_J,内蒙古,2,
36,,步步,,1,
37,,Phoenix,,1,sdg
38,海淀,生如夏花,北京,2,
39,海淀,霍霍朗宁,北京,2,
40,丰台,刘雨竹 🐾,北京,2,
41,,婉子,,0,多走几步
42,舟山,先蝶,浙江,2,蒋先蝶
43,,冷月无声,,1,
44,宁德,枫林,福建,2,永远热泪盈眶!
45,承德,杨云斌,河北,1,"无所不备 无所不寡<span class=""emoji emoji2747""></span>"
46,赤峰,沣,内蒙古,1,，，，
47,哈尔滨,端木,黑龙江,1,我是一个好人
48,,温文杰,,2,you are the only one to me
49,海淀,香酥老虎,北京,1,以马内利
50,,冷天杨,,0,
51,大同,子虚邬有,山西,1,耐的住寂寞才能守得住繁华，该奋斗的年龄不要选择安逸！
52,,匍匐委陵菜,Auckland,1,奥特曼打打小怪兽！
53,红河,EP,云南,1,这个世界本来就很魔幻
54,金华,solomon,浙江,1,愿无岁月可回头
55,,王明明,,1,世界，为你留白。
56,南开,徐岩,天津,1,外面的世界很精彩，外面的世界很无奈
57,大同,Eric,山西,1,
58,哈尔滨,爱学习,黑龙江,2,走着走着 花就开了
59,海淀,天佑德,北京,1,我的晓宝贝
60,,小葵,,2,既见君子云胡不喜
61,海淀,yixuaner,北京,2,
62,,孙志宇,,1,人若有知。配百年
63,,方成,,1,
64,北辰,张继忠,天津,1,识不足则多虑，威不足则多怒，信不足则多言
65,,阿斌,北京,2,
66,赤峰,家源宾馆,内蒙古,1,
67,海淀,王婉丽,北京,2,
68,辽阳,小张,辽宁,1,和气生财
69,,梁晶,District of Columbia,1,
70,海淀,爱吃糖墩儿的刘先生,北京,1,心有归处，在哪都是花园！
71,邯郸,雷钊,河北,1,这是一个不甘平凡，又碌碌无为的人。
72,海淀,胡１水,北京,2,无物安睡在此深处
73,九江,DaiY,江西,1,幸福是奋斗出来的🙃 🙃 🙃
74,张家口,小丸子,河北,2,来，给我卖个萌
75,昌平,李少杰,北京,1,阳光、正能量、一颗上进的心！
76,赣州,何,江西,1,
77,赤峰,迪安,内蒙古,1,风雨再大，过后依然会现彩虹！
78,,khwaja anwaar,,0,
79,丰台,渔子溪,北京,1,超越今天的自己，才能拥有明天的美好！
80,海淀,田晓光,北京,1,中国
81,丽江,ch,云南,1,
82,沈阳,oilwind,辽宁,1,
83,菏泽,李志鹏,山东,1,do do do
84,,Bad Medicine,Hadhdhunmathi,1,相濡以沫不如相忘于江湖
85,,Helen,,0,时间都去哪儿了
86,海淀,金山【营业时间10:00-22:00】,北京,1,生活不止眼前的苟且，还有金山1的酒店和电影！
87,海淀,程大大大雨,北京,1,
88,,小琦,,0,
89,波斯尼亚和黑塞哥维那,丁立萍,其他,2,旁友，加我的时候做个自我介绍嘛
90,莱芜,梁子,山东,1,
91,津南,💕💕ting💕💕,天津,2,"认真吃饭，认真睡觉，认真生活<span class=""emoji emoji1f60d""></span>ོ<span class=""emoji emoji1f60d""></span>ོ"
92,,Samael、,,1,庭前花开花落。
93,海淀,Qadeer Ahmed  迪尔,北京,1,"The Battle,continues...."
94,,孟佳慧,,2,知山知水 树木树人
95,扬州,荷兰大风车,江苏,1,
96,津南,Duke Guo,天津,1,
97,河东,欣,天津,1,不懂珍惜，不配拥有！
98,浦东新区,弘鹰,上海,2,
99,海淀,耨酢耨黛,北京,2,你当善良，且有力量
100,,🐑🐑,,2,"online<span class=""emoji emoji1f411""></span>( ̀⌄ ́)"
101,,Pursue,,1,
102,海淀,比利,北京,2,
103,,不可结缘,,1,不可结缘  徒增悲伤
104,海淀,Prayer,北京,1,凡有等待，就有启程
105,拉萨,糖糖,西藏,2,
106,浦东新区,黄世杰,上海,1,飞上蓝天
107,,俞程元,,1,落心木子舟
108,南京,王濮,江苏,1,to be a better man……
109,朝阳,江南耕者,北京,1,江南一耕者
110,朝阳,雅男。,北京,2,努力奋斗 不失初心
111,,爱咋咋地吧,北京,1,
112,海淀,苏婷,北京,2,
113,,路漫漫,,2,
114,兰州市,丁小丹,甘肃,2,人生若只如初见，何事秋风悲画扇
115,南宁,Lee,广西,2,
116,,米花,,2,小雨点保护的女孩儿
117,,文刀火韦,,0,
